usuario_id,producto_id,nombre,categoria_general,dwell_time_segundos,created_at
fa261908-a6ee-4d23-a997-7a08e4e8723e,p2,Microsoft Office 365 Estudiante,Académico,2.04,2026-06-22T23:52:30.609068+00:00
2f07556d-dcc8-41a9-97eb-0f7ee27d8517,p3,Curso Python para Datos e IA,Académico,5.96,2026-06-26T23:35:15.999506+00:00
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p6,Curso Ethical Hacking & Pentesting,Académico,1.87,2026-06-27T01:46:46.731304+00:00
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p12,Kit Electrónica: Sensores IoT Avanzados,Académico,2.2,2026-06-27T01:57:30.218262+00:00
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p17,Mochila Antirrobo con Puerto USB,Entretenimiento,2.41,2026-06-27T01:57:35.410171+00:00
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p36,Gigabyte G5 KF (RTX 4060),Laptop,1.0,2026-06-27T01:57:43.266187+00:00
43620b89-7966-4ee0-82a2-95cfb1bf0c9a,p46,Custom UPY Sticker Pack,Other,1.3,2026-06-27T01:57:50.738073+00:00
cfca7879-0a1e-4075-9eba-7e6e0dd07d5d,p10,Álgebra Lineal para IA (eBook + Ejercicios),Académico,1.17,2026-06-27T03:54:18.701924+00:00
cfca7879-0a1e-4075-9eba-7e6e0dd07d5d,p14,Bocina Portátil JBL Go 4,Entretenimiento,0.69,2026-06-27T03:54:20.801332+00:00
cfca7879-0a1e-4075-9eba-7e6e0dd07d5d,p15,Control Xbox Wireless (Carbon Black),Entretenimiento,1.5,2026-06-27T03:54:24.291149+00:00
cfca7879-0a1e-4075-9eba-7e6e0dd07d5d,p21,ASUS VivoBook 15 (Intel Core i5 13ª gen),Laptop,2.42,2026-07-04T01:12:59.603461+00:00
cfca7879-0a1e-4075-9eba-7e6e0dd07d5d,p26,ASUS TUF Gaming A15 (RTX 4060),Laptop,1.69,2026-07-04T01:20:51.351802+00:00
8d9bd2be-d7c6-4e25-a519-1f17d4a1be03,p14,Bocina Portátil JBL Go 4,Entretenimiento,11.43,2026-07-03T19:45:06.798851
8a0503fd-e748-458f-a448-fae6118cab68,p32,Servicio de Tutorías Express en Python,Académico,23.09,2026-07-03T19:45:06.798984
200d8ff5-9ddd-4dc8-be16-68fdf0f190c4,p13,Audífonos Inalámbricos JBL Tune 520BT,Entretenimiento,13.01,2026-07-03T19:45:06.801964
d1ca6161-3a2e-453b-8b34-70743d9fb452,p9,Curso Robótica con ROS 2 (Robot Operating System),Académico,32.05,2026-07-03T19:45:06.802336
a0052413-e2f7-438c-b7cb-1b1d65a09f6b,p3,Curso Python para Datos e IA,Académico,24.38,2026-07-03T19:45:06.805479
5e30d627-978e-40d3-9434-061f1bdb9dd0,p8,Raspberry Pi 5 (8 GB) Kit Completo,Académico,33.97,2026-07-03T19:45:06.805882
7471abfa-3b26-4935-8b2a-2e6114c62006,p8,Raspberry Pi 5 (8 GB) Kit Completo,Académico,19.38,2026-07-03T19:45:06.806073
00053d71-61b5-4e25-98b1-ff51c970183f,p12,Kit Electrónica: Sensores IoT Avanzados,Académico,36.31,2026-07-03T19:45:06.808077
aae78ab2-827c-46a5-98fc-9ff73693e408,p10,Álgebra Lineal para IA (eBook + Ejercicios),Académico,22.04,2026-07-03T19:45:06.808487
7471abfa-3b26-4935-8b2a-2e6114c62006,p31,Pack de Apuntes UPY: Cálculo y Física,Académico,24.01,2026-07-03T19:45:06.809463
c8a16575-9df3-4916-b708-0fe72f35e9c9,p10,Álgebra Lineal para IA (eBook + Ejercicios),Académico,21.28,2026-07-03T19:45:06.809735
7d828498-5c47-4273-bf87-81fabde6249c,p20,Teclado Mecánico Compacto TKL RGB,Entretenimiento,9.85,2026-07-03T19:45:06.811849
c3ee368e-3d59-44e8-ba44-5f517efc74ba,p15,Control Xbox Wireless (Carbon Black),Entretenimiento,15.2,2026-07-03T19:45:06.811954
d072afba-47d2-4bae-bae0-259991a3d61d,p16,Spotify Premium Estudiante (3 meses),Entretenimiento,20.55,2026-07-03T19:45:06.814653
13d32b48-6500-47e7-8efd-7f95c3b9d41c,p11,Certificación CompTIA Security+ (Prep),Académico,38.63,2026-07-03T19:45:06.815893
b656218b-4117-44ee-9fe8-874ee323ef5e,p13,Audífonos Inalámbricos JBL Tune 520BT,Entretenimiento,19.21,2026-07-03T19:45:06.817445
